A_Kata,B_Kata_Loss_Count,B_Nom
Kururunfa,1,Hypolito_Naomi
Papuren,1,Tagliafierro_Chiara
Anan,1,Wahjudi_Soraya
Anan_Dai,1,Wahjudi_Soraya
Anan_Dai,1,Yilmaz_Ayse
Papuren,1,Membo_Kirils
Ohan_Dai,1,Tardio_Royo_Mario
Gojushiho_Dai,1,Tran_Fabien
Anan_Dai,1,Cosci_Giuseppe
Papuren,1,Del_Valle_Catala_Francesco
Kururunfa,1,Gaglio_Andre
Gojushiho_Sho,1,Niedziela_Wojciech
Kururunfa,1,Espadas_Herrera_Xavier
Anan_Dai,1,Villano_Cristian
Suparinpei,1,Di_Rubba_Luigi
Kanku_Sho,1,Masar_Vit
Unsu,1,Andrei_Nedelcu
Sansai,1,Boskov_Aleksandar
Ohan_Dai,2,Serra_Cristian
Anan_Dai,1,Veladzic_Senaid
Kanku_Sho,1,Venes_Afonso
Gojushiho_Sho,1,Ques_Garcia_Miquel
Ohan_Dai,1,Hoffman_Molinas_Alexandre_Jordi
Heiku,1,Markesinis_Lamprinos_Marios
Gojushiho_Sho,2,Tas_Yanis
Anan_Dai,1,Matacchioni_Luigi
Gojushiho_Dai,1,Heijmens_Visser_Daan
Gojushiho_Sho,1,Iwaszkiewicz_Piotr
Anan,1,Agostini_Luis
Ohan_Dai,1,Agostini_Luis
Anan_Dai,1,Mijac_Vladimir
Enpi,1,Fernandes_David
Gojushiho_Dai,1,Bustamante_Alfredo
Gojushiho_Sho,2,Panagia_Giuseppe
Chibana_No_Kushanku,1,Carbonell_Lopez_Jose_Manuel
Suparinpei,1,Giovagnoni_Gioele
Gojushiho_Sho,1,Duchaine_Gregoire
Gojushiho_Dai,1,Sekkour_Salah_Eddine
Gojushiho_Sho,1,Sekkour_Salah_Eddine
Papuren,1,Subota_Uros
Anan_Dai,1,Beckers_Mitchell
Anan_Dai,1,Preda_Luca
Pachu,1,Pattanasakoo_Nawapon
Anan_Dai,1,Mischler_Kevin
Suparinpei,1,Martinez_Jimenez_Ruben
Gojushiho_Sho,1,Crowther_Nathan
Ohan,1,Giannoukos_Nikolaos
Kanku_Sho,1,Kowalczyk_Maciej
Gojushiho_Dai,1,Costa_Diogo
Enpi,1,Koumasis_Charalampos
Gojushiho_Sho,1,Lueck_Aidan_Randall
Papuren,1,Fernandez_Peris_Santiago
Ohan_Dai,1,Forster_Vincent
Anan,1,Sluga_Jure
Papuren,1,Tamborlani_Matteo
Chatanyara_Kushanku,1,Wilson_Jack
Gojushiho_Sho,1,Wilson_Jack
Kururunfa,1,Ortiz_Aquino_Jeffersont
Suparinpei,1,Ortiz_Aquino_Jeffersont
Gojushiho_Dai,1,Morim_Afonso
Anan,1,Tang_Yu_Hin
Papuren,1,Ma_Ka_Man
Anan_Dai,1,Jamal_Hadiseh
Unsu,1,Quiroz_Castillo_Yaneth
Anan_Dai,1,Tatar_Parla_Doaa
Suparinpei,1,Turdiboeva_Nilufar
Tomari_Bassai,1,Portal_Beatriz
Suparinpei,1,Rizzo_Michela
Gojushiho_Sho,1,Kylmanen_Jenna
Kanku_Sho,1,Kowalska_Anna
Kururunfa,1,Karlsson_Mia
Kanku_Sho,1,Pascual_Aria
Tomari_Bassai,1,Pascual_Aria
Anan,1,Keskiivari_Mari
Suparinpei,1,Zapata_Machado_Valentina
Kishimoto_No_Kushanku,1,Hebbel_Patricia
Chatanyara_Kushanku,1,Manty_Bess
Tomari_Bassai,1,Rustamjonova_Mukhlisakhon
Ohan_Dai,1,Trahan_Perreault_Daphne
Anan_Dai,1,Cardoso_Leticia_De_Souza
Gojushiho_Sho,1,Lamego_Andre
Kanku_Sho,1,Garcia_Eduardo
Gojushiho_Sho,1,Berger_Jona
Gojushiho_Dai,1,Najeeb_Ahmed
Gojushiho_Sho,1,Banerjee_Arka
Gojushiho_Sho,1,Bervely_Mathew_Scott
Anan,1,Berner_Laurenz
Gojushiho_Sho,1,Jakovljevic_Vasilije
Kururunfa,1,Barta_Roland_Botond
Ohan_Dai,1,Guerrini_Maurizio
Papuren,1,Relic_Matija
Ohan_Dai,1,Zelante_Nunzio
Gojushiho_Dai,1,Marsden_Harry
Kanku_Sho,1,Petrone_Leandro
Gojushiho_Dai,1,Witbooi_Ethan
Chatanyara_Kushanku,1,Pappalardo_Vincenzo
Gojushiho_Sho,1,Hadizadeh_Julian
Gojushiho_Dai,1,Sukal_Vojtech
Ohan_Dai,1,Sonnema_Rick
Ohan,1,Morley_George
Gojushiho_Sho,1,Grimm_Lukas
Chibana_No_Kushanku,1,Polsinelli_Guido
Papuren,1,Buisson_Matteo
Anan,1,Giuliani_Alessio
Kanku_Sho,1,Traves_Dylan
Anan,1,Pagot_Alexander
Gojushiho_Dai,1,Williams_Jody
